country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","21-09-2026 11:00:00",26.146529,87.454184,PM10,14,181,61
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","21-09-2026 11:00:00",26.146529,87.454184,CO,18,31,24
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-09-2026 11:00:00",26.80365,84.51954,PM2.5,22,25,23
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-09-2026 11:00:00",26.80365,84.51954,NH3,2,4,3
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-09-2026 11:00:00",26.80365,84.51954,OZONE,13,22,16
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-09-2026 11:00:00",25.251013,86.989001,PM2.5,17,329,73
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-09-2026 11:00:00",25.251013,86.989001,PM10,29,168,55
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-09-2026 11:00:00",25.251013,86.989001,SO2,15,27,22
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","21-09-2026 11:00:00",25.251013,86.989001,OZONE,18,20,19
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","21-09-2026 11:00:00",25.265194,87.012947,NO2,20,24,22
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","21-09-2026 11:00:00",25.204762,85.51496,PM2.5,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","21-09-2026 11:00:00",25.204762,85.51496,NH3,3,4,3
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","21-09-2026 11:00:00",24.792403,84.992416,NO2,1,11,4
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","21-09-2026 11:00:00",24.792403,84.992416,SO2,35,45,40
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","21-09-2026 11:00:00",25.697189,85.2459,PM10,27,73,49
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","21-09-2026 11:00:00",25.560083,87.553265,PM2.5,27,37,30
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","21-09-2026 11:00:00",27.103358,93.679645,NO2,8,8,8
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","21-09-2026 11:00:00",27.103358,93.679645,SO2,11,12,11
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","21-09-2026 11:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","21-09-2026 11:00:00",26.10887,91.589544,NH3,3,73,7
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","21-09-2026 11:00:00",26.1875,91.744194,PM2.5,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","21-09-2026 11:00:00",26.181742,91.78063,OZONE,8,11,10
India,Assam,Guwahati,"IITG, Guwahati - PCBA","21-09-2026 11:00:00",26.2028636,91.70046436,PM10,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","21-09-2026 11:00:00",26.2028636,91.70046436,CO,71,75,73
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","21-09-2026 11:00:00",26.349082,92.68449,PM10,37,63,52
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","21-09-2026 11:00:00",26.446912,91.439057,CO,21,22,22
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","21-09-2026 11:00:00",26.446912,91.439057,OZONE,19,19,19
India,Assam,Silchar,"Tarapur, Silchar - PCBA","21-09-2026 11:00:00",24.82827,92.79525,PM2.5,28,34,30
India,Assam,Silchar,"Tarapur, Silchar - PCBA","21-09-2026 11:00:00",24.82827,92.79525,PM10,50,71,59
India,Assam,Silchar,"Tarapur, Silchar - PCBA","21-09-2026 11:00:00",24.82827,92.79525,SO2,3,5,4
India,Assam,Silchar,"Tarapur, Silchar - PCBA","21-09-2026 11:00:00",24.82827,92.79525,CO,17,18,17
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","21-09-2026 11:00:00",16.5150833,80.5181667,PM10,50,98,73
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","21-09-2026 11:00:00",16.5150833,80.5181667,NH3,3,5,4
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","21-09-2026 11:00:00",14.675886,77.593027,NH3,4,5,5
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","21-09-2026 11:00:00",14.675886,77.593027,SO2,11,18,18
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","21-09-2026 11:00:00",13.20488,79.097889,NO2,33,36,34
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","21-09-2026 11:00:00",16.711754,81.092095,PM2.5,43,60,48
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","21-09-2026 11:00:00",16.711754,81.092095,NO2,1,1,1
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","21-09-2026 11:00:00",16.711754,81.092095,CO,18,28,21
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","21-09-2026 11:00:00",16.316553,80.413302,NO2,21,51,35
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","21-09-2026 11:00:00",16.316553,80.413302,CO,17,27,22
India,"Andhra Pradesh",Kakinada,"Rama Rao Peta, Kakinada - APPCB","21-09-2026 11:00:00",16.962488,82.229513,NO2,9,42,22
India,"Andhra Pradesh",Kakinada,"Rama Rao Peta, Kakinada - APPCB","21-09-2026 11:00:00",16.962488,82.229513,CO,35,42,38
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","21-09-2026 11:00:00",15.83411,78.028546,PM10,24,48,34
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","21-09-2026 11:00:00",15.83411,78.028546,OZONE,16,86,30
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","21-09-2026 11:00:00",14.438164,79.966814,CO,36,37,37
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","21-09-2026 11:00:00",14.438164,79.966814,OZONE,21,28,24
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","21-09-2026 11:00:00",16.9872867,81.7363176,SO2,3,11,5
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","21-09-2026 11:00:00",13.67,79.35,PM2.5,5,29,17
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","21-09-2026 11:00:00",13.67,79.35,CO,16,23,20
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","21-09-2026 11:00:00",13.615387,79.40923,PM2.5,62,72,63
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","21-09-2026 11:00:00",13.615387,79.40923,NH3,5,7,5
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","21-09-2026 11:00:00",16.536107,80.594233,NO2,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","21-09-2026 11:00:00",16.536107,80.594233,SO2,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","21-09-2026 11:00:00",16.554731,80.64911,PM10,48,64,53
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","21-09-2026 11:00:00",16.509717,80.612222,OZONE,21,24,21
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","21-09-2026 11:00:00",27.103358,93.679645,PM2.5,16,56,31
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","21-09-2026 11:00:00",30.751462,76.762879,OZONE,32,32,32
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","21-09-2026 11:00:00",21.194815,81.31477,PM10,29,101,56
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","21-09-2026 11:00:00",21.194815,81.31477,SO2,5,29,9
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","21-09-2026 11:00:00",22.08815,82.13737,NH3,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","21-09-2026 11:00:00",22.08815,82.13737,CO,24,39,30
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","21-09-2026 11:00:00",22.118125,83.140608,PM10,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","21-09-2026 11:00:00",22.348441,82.549611,NO2,3,6,5
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","21-09-2026 11:00:00",22.368195,82.746431,PM2.5,4,17,9
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","21-09-2026 11:00:00",22.12665,83.483212,NO2,4,58,16
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","21-09-2026 11:00:00",22.12665,83.483212,SO2,13,23,17
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","21-09-2026 11:00:00",22.1910172,83.5197009,NO2,6,16,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-09-2026 11:00:00",25.586562,85.043586,CO,29,37,35
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-09-2026 11:00:00",25.586562,85.043586,OZONE,16,34,23
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","21-09-2026 11:00:00",25.592539,85.227158,CO,35,44,38
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","21-09-2026 11:00:00",25.610369,85.132568,PM10,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","21-09-2026 11:00:00",25.599486,85.113666,CO,36,41,39
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","21-09-2026 11:00:00",25.599486,85.113666,OZONE,27,29,28
